Imiê	Nazwisko	Ulica	Numer	RoleId	Firma	Miasto	Telefon	Email	Kod	Password	Concat								Firma 
Stanis³aw	Kowalski	Aleksandrówka	30	3		Otwock	589431420	Stanis³aw.Kowalski@wp.pl	15-315	Kowalski	(3,'Stanis³aw','Kowalski','','Aleksandrówka','Otwock','15-315','589431420','Stanis³aw.Kowalski@wp.pl','Kowalski'),	'	,						
Andrzej	Wiœniewski	1 Maja	8	3		Piaseczno	594214363	Andrzej.Wiœniewski@poczta.onet.pl	15-409	Wiœniewski	(3,'Andrzej','Wiœniewski','','1 Maja','Piaseczno','15-409','594214363','Andrzej.Wiœniewski@poczta.onet.pl','Wiœniewski'),	'	,						
Józef	D¹browski	Mickiewicza	162	3		Pionki	599252465	Józef.D¹browski@o2.pl	15-596	D¹browski	(3,'Józef','D¹browski','','Mickiewicza','Pionki','15-596','599252465','Józef.D¹browski@o2.pl','D¹browski'),	'	,						
Tadeusz	Lewandowski	Unruga	190	3		Brwinów	529349499	Tadeusz.Lewandowski@interia.pl	15-914	Lewandowski	(3,'Tadeusz','Lewandowski','','Unruga','Brwinów','15-914','529349499','Tadeusz.Lewandowski@interia.pl','Lewandowski'),	'	,						
Jerzy	Wójcik	Dygasiñskiego	10	2	GK PGNiG SA	Ciechanów	552293291	Jerzy.Wójcik@op.pl	15-865	Wójcik	(2,'Jerzy','Wójcik','GK PGNiG SA','Dygasiñskiego','Ciechanów','15-865','552293291','Jerzy.Wójcik@op.pl','Wójcik'),	'	,						GK PGNiG SA
Zbigniew	Kamiñski	Agrestowa	177	1		Garwolin	574170246	Zbigniew.Kamiñski@tlen.pl	15-426	Kamiñski	(1,'Zbigniew','Kamiñski','','Agrestowa','Garwolin','15-426','574170246','Zbigniew.Kamiñski@tlen.pl','Kamiñski'),	'	,						GK Tauron Polska Energia SA
Krzysztof	Kowalczyk	Alabastrowa	139	1		Gostynin	512470273	Krzysztof.Kowalczyk@gmail.com	15-252	Kowalczyk	(1,'Krzysztof','Kowalczyk','','Alabastrowa','Gostynin','15-252','512470273','Krzysztof.Kowalczyk@gmail.com','Kowalczyk'),	'	,						KGHM Polska MiedŸ SA
Henryk	Zieliñski	Fredry	145	2	Grupa Eurocash SA	Góra Kalwaria	509399506	Henryk.Zieliñski@poczta.fm	15-278	Zieliñski	(2,'Henryk','Zieliñski','Grupa Eurocash SA','Fredry','Góra Kalwaria','15-278','509399506','Henryk.Zieliñski@poczta.fm','Zieliñski'),	'	,						Grupa Eurocash SA
Ryszard	Szymañski	Gierymskiego	171	1		Grodzisk Mazowiecki	593228308	Ryszard.Szymañski@gazeta.pl	15-395	Szymañski	(1,'Ryszard','Szymañski','','Gierymskiego','Grodzisk Mazowiecki','15-395','593228308','Ryszard.Szymañski@gazeta.pl','Szymañski'),	'	,						Metro Group w Polsce
Kazimierz	WoŸniak	Janowskiego	11	2	GK Orange Polska (Telekomunikacja Polska SA)	Grójec	555210131	Kazimierz.WoŸniak@go2.pl	15-220	WoŸniak	(2,'Kazimierz','WoŸniak','GK Orange Polska (Telekomunikacja Polska SA)','Janowskiego','Grójec','15-220','555210131','Kazimierz.WoŸniak@go2.pl','WoŸniak'),	'	,						GK Orange Polska (Telekomunikacja Polska SA)
